xsec_exp_NP_profiled,xsec_p2s_NP_profiled,xsec_p1s_NP_profiled,xsec_m1s_NP_profiled,xsec_m2s_NP_profiled,xsec_obs_NP_profiled,parameter,channel
0.21250487077275731,0.48142933203469973,0.3166222281544894,0.15312152637741064,0.11405684271448932,0.3737732506861962,251.0,bbyy
0.3628001991077824,0.7854814791543167,0.5322913051342403,0.26141763271307494,0.19472422018350533,0.6193337201443805,260.0,bbyy
0.38174014951428187,0.8261198533102494,0.5597350435098318,0.275064915738681,0.2048897798559911,0.5756394874175944,270.0,bbyy
0.36494893515973703,0.8097475603525024,0.5398846371304079,0.26296591601999875,0.19587750221897837,0.3248553520176225,280.0,bbyy
0.34134243976592415,0.7573477413756688,0.5048497135235691,0.24595612893146052,0.1832072875439856,0.23663308537010344,290.0,bbyy
0.36354232445658663,0.7956012687679717,0.5348984953062266,0.26195237512043273,0.1951225379908817,0.3466110140707144,300.0,bbyy
0.3556670190058459,0.7787302103019954,0.5239987779705048,0.25627778146561114,0.1908956585228613,0.39199034783908593,312.5,bbyy
0.3249896788181855,0.7133557420384316,0.47822131145059615,0.23417305917076656,0.17443033915413733,0.2463922845335255,325.0,bbyy
0.28630410267048695,0.635176498296023,0.42321251173378877,0.20629795942841964,0.1536667930859824,0.2550112172935964,337.5,bbyy
0.2669638379442519,0.5920734867534886,0.3946419569109391,0.192362227768927,0.14328637439762373,0.3387254335112941,350.0,bbyy
0.23498874451918866,0.5357326174780586,0.35117336324108234,0.16932240240632807,0.12612451740911523,0.4020830247151304,375.0,bbyy
0.1852635198142162,0.4177958705233302,0.27591909959446725,0.13349262458242506,0.0994357073479919,0.19946854103192274,400.0,bbyy
0.15993064578980745,0.36669648113575376,0.23916034326743354,0.11523888609615689,0.08583890075433158,0.1778216687454896,425.0,bbyy
0.14295060503209736,0.33075590027397966,0.21420649771751413,0.10300382649815105,0.07672527511862197,0.13075944388208924,450.0,bbyy
0.14092674611647404,0.3197436610919035,0.20978429964092865,0.10154552408274824,0.0756390178616652,0.13869604191962742,475.0,bbyy
0.1270825897801544,0.29121630367608575,0.19013230827710534,0.09157004285299507,0.0682085022408965,0.16864891104699437,500.0,bbyy
0.09305955185119069,0.21808434116512893,0.1403971005822642,0.0670545600749536,0.04994746063925431,0.0858727121296157,550.0,bbyy
0.07928554144088625,0.18783901688043975,0.12002057746763345,0.05712962286906936,0.04255459414540435,0.07265664448091985,600.0,bbyy
0.07466038676135292,0.17423309128151038,0.11216998145448198,0.05379694281478913,0.040072154388163056,0.048412494082378035,700.0,bbyy
0.06431098191555826,0.15226379069056353,0.09726426305567215,0.046339623548067616,0.03451736199026239,0.07069126413107503,800.0,bbyy
0.04499858421001313,0.10941058583597475,0.06848620974884072,0.03242397162005651,0.02415190025034538,0.07509328060900347,900.0,bbyy
0.04913626769795873,0.11757663647670998,0.074469354989584,0.035405401688162315,0.02637270165160649,0.05067429552102989,1000.0,bbyy
