xsec_exp_NP_profiled,xsec_p2s_NP_profiled,xsec_p1s_NP_profiled,xsec_m1s_NP_profiled,xsec_m2s_NP_profiled,xsec_obs_NP_profiled,parameter,channel
0.039066699999999996,0.0623688,0.0213849,-0.0107895,-0.0165494,0.051750300000000006,1600,bbtautau_boosted2
0.0365792,0.058799500000000005,0.0195387,-0.00954345,-0.0156166,0.048816899999999996,1800,bbtautau_boosted2
0.0370389,0.059322200000000005,0.0200903,-0.009611310000000001,-0.0158214,0.049215,2000,bbtautau_boosted2
0.045847,0.07404720000000001,0.025078399999999997,-0.011488799999999999,-0.019354700000000002,0.06140399999999999,2500,bbtautau_boosted2
