xsec_exp_NP_profiled,xsec_p2s_NP_profiled,xsec_p1s_NP_profiled,xsec_m1s_NP_profiled,xsec_m2s_NP_profiled,xsec_obs_NP_profiled,parameter,channel
0.624224,2.2978400000000003,0.723027,-0.23313099999999998,-0.32996800000000004,0.81677,1000,bbtautau_boosted
0.14968700000000001,0.35211300000000006,0.108089,-0.0511766,-0.0768074,0.18962900000000002,1100,bbtautau_boosted
0.07372480000000001,0.14676599999999998,0.0463266,-0.0246481,-0.032696800000000005,0.09375539999999999,1200,bbtautau_boosted
0.0462331,0.0819666,0.0277289,-0.0143938,-0.0235636,0.0577163,1400,bbtautau_boosted
0.0393964,0.067792,0.0233884,-0.0122706,-0.0201823,0.049184,1600,bbtautau_boosted
