mass,r_br_yy_bb,exp_limit,obs_limit
280,0.0025,0.451809,0.309294
280,0.0026,0.440727,0.303077
280,0.0027,0.430086,0.297045
280,0.0028,0.419862,0.291205
280,0.0029,0.410038,0.285606
280,0.0030,0.400233,0.280175
280,0.0031,0.391130,0.274923
280,0.0032,0.382477,0.269827
280,0.0033,0.374056,0.264899
280,0.0034,0.365952,0.260133
280,0.0035,0.358142,0.255508
280,0.0036,0.350627,0.251100
280,0.0037,0.343385,0.246798
280,0.0038,0.336405,0.242538
280,0.0039,0.329674,0.238456
280,0.0040,0.323181,0.234510
280,0.0041,0.316914,0.230690
280,0.0042,0.310864,0.227499
280,0.0043,0.305020,0.223898
280,0.0044,0.299382,0.220403
280,0.0045,0.293923,0.217007
280,0.0046,0.288645,0.213741
280,0.0047,0.283538,0.210504
280,0.0048,0.278596,0.207393
280,0.0049,0.273811,0.204361
280,0.0050,0.269176,0.201408
280,0.0051,0.264685,0.198526
280,0.0052,0.260332,0.195730
280,0.0053,0.256111,0.193012
280,0.0054,0.252026,0.190363
280,0.0055,0.248053,0.187777
280,0.0056,0.244196,0.185262
280,0.0057,0.240451,0.182812
280,0.0058,0.236813,0.180422
280,0.0059,0.233277,0.178303
280,0.0060,0.229840,0.176020
280,0.0070,0.199878,0.155922
280,0.0080,0.176741,0.139829
280,0.0090,0.158281,0.126717
280,0.0100,0.143239,0.115634
280,0.0200,0.072999,0.061664
280,0.0300,0.048801,0.041975
280,0.0400,0.036654,0.031799
280,0.0500,0.029346,0.025591
300,0.0000,0.635812,0.568506
300,0.0001,0.634722,0.564624
300,0.0002,0.631563,0.559363
300,0.0003,0.626601,0.552949
300,0.0004,0.620113,0.545689
300,0.0005,0.612367,0.537621
300,0.0006,0.603616,0.528995
300,0.0007,0.594080,0.519959
300,0.0008,0.583955,0.510640
300,0.0009,0.573406,0.501165
300,0.0010,0.562572,0.491569
300,0.0011,0.551568,0.481948
300,0.0012,0.540280,0.472361
300,0.0013,0.529185,0.463100
300,0.0014,0.518153,0.453693
300,0.0015,0.507233,0.444434
300,0.0016,0.496462,0.435346
300,0.0017,0.485878,0.426446
300,0.0018,0.475498,0.417743
300,0.0019,0.465342,0.409050
300,0.0020,0.455422,0.400671
300,0.0021,0.445758,0.392643
300,0.0022,0.436334,0.384950
300,0.0023,0.427163,0.376951
300,0.0024,0.418246,0.368642
300,0.0025,0.409582,0.361440
300,0.0026,0.401168,0.354436
300,0.0027,0.393104,0.347607
300,0.0028,0.385182,0.340992
300,0.0029,0.377501,0.334574
300,0.0030,0.370047,0.328884
300,0.0031,0.362824,0.322789
