mass,r_br_yy_bb,exp_limit,obs_limit
900,0.0055,0.007771,0.015997
900,0.0056,0.007755,0.015976
900,0.0057,0.007740,0.015955
900,0.0058,0.007725,0.015933
900,0.0059,0.007710,0.015911
900,0.0060,0.007694,0.015889
900,0.0070,0.007538,0.015659
900,0.0080,0.007380,0.015418
900,0.0090,0.007221,0.015173
900,0.0100,0.007058,0.014925
900,0.0200,0.005631,0.012596
900,0.0300,0.004559,0.010642
900,0.0400,0.003782,0.009016
900,0.0500,0.003202,0.007674
1000,0.0000,0.006570,0.010406
1000,0.0001,0.006570,0.010409
1000,0.0002,0.006569,0.010411
1000,0.0003,0.006569,0.010413
1000,0.0004,0.006568,0.010414
1000,0.0005,0.006567,0.010415
1000,0.0006,0.006566,0.010415
1000,0.0007,0.006565,0.010415
1000,0.0008,0.006563,0.010414
1000,0.0009,0.006561,0.010413
1000,0.0010,0.006559,0.010411
1000,0.0011,0.006557,0.010409
1000,0.0012,0.006555,0.010407
1000,0.0013,0.006552,0.010404
1000,0.0014,0.006549,0.010401
1000,0.0015,0.006546,0.010397
1000,0.0016,0.006543,0.010393
1000,0.0017,0.006540,0.010388
1000,0.0018,0.006536,0.010383
1000,0.0019,0.006532,0.010378
1000,0.0020,0.006529,0.010372
1000,0.0021,0.006525,0.010366
1000,0.0022,0.006520,0.010360
1000,0.0023,0.006516,0.010353
1000,0.0024,0.006512,0.010346
1000,0.0025,0.006507,0.010339
1000,0.0026,0.006502,0.010331
1000,0.0027,0.006498,0.010323
1000,0.0028,0.006493,0.010315
1000,0.0029,0.006487,0.010306
1000,0.0030,0.006482,0.010298
1000,0.0031,0.006477,0.010289
1000,0.0032,0.006471,0.010279
1000,0.0033,0.006466,0.010270
1000,0.0034,0.006460,0.010260
1000,0.0035,0.006454,0.010250
1000,0.0036,0.006448,0.010240
1000,0.0037,0.006442,0.010230
1000,0.0038,0.006436,0.010219
1000,0.0039,0.006430,0.010208
1000,0.0040,0.006424,0.010197
1000,0.0041,0.006417,0.010186
1000,0.0042,0.006411,0.010175
1000,0.0043,0.006404,0.010180
1000,0.0044,0.006398,0.010169
1000,0.0045,0.006391,0.010157
1000,0.0046,0.006384,0.010145
1000,0.0047,0.006377,0.010133
1000,0.0048,0.006370,0.010121
1000,0.0049,0.006363,0.010108
1000,0.0050,0.006356,0.010096
1000,0.0051,0.006349,0.010083
1000,0.0052,0.006342,0.010070
1000,0.0053,0.006335,0.010057
1000,0.0054,0.006327,0.010044
1000,0.0055,0.006320,0.010031
1000,0.0056,0.006312,0.010018
1000,0.0057,0.006305,0.010004
1000,0.0058,0.006297,0.009971
1000,0.0059,0.006290,0.009957
1000,0.0060,0.006282,0.009944
1000,0.0070,0.006202,0.009804
1000,0.0080,0.006119,0.009654
1000,0.0090,0.006033,0.009494
1000,0.0100,0.005945,0.009343
1000,0.0200,0.005062,0.007875
1000,0.0300,0.004306,0.006587
1000,0.0400,0.003694,0.005519
1000,0.0500,0.003210,0.004666
