mH[GeV],Observed[fb],Expected[fb]
251,3732.7,2980.28
260,8408.77,6043.37
280,7735.29,4265.31
300,3477.87,2543.77
350,390.7,652.4
400,163.14,266.9
500,85.26,94.26
600,26.4,45.4
700,22.14,24.58
800,12.03,15.88
900,12.18,11.08
1000,6.45,8.16
1100,13.16,6.18
1200,9.31,5.25
1300,6.05,4.5
1400,7.75,3.81
1500,7.4,3.35
1600,5.16,3.18
1800,3.27,2.49
2000,2.8,2.04
2250,2.82,1.76
2500,1.97,1.48
2750,0.96,1.33
3000,1.15,1.21
3500,1,1.31
4000,2.59,1.26
4500,1.84,1.32
5000,1.25,1.43
