mH[GeV],Observed[fb],Expected[fb]
251,385.387,217.684
260,640.611,372.343
270,594.978,391.588
280,331.389,374.201
290,241.399,350.083
300,354.526,372.878
312.5,403.007,364.919
325,252.01,333.547
337.5,260.808,293.154
350,348.341,272.864
375,414.927,240.578
400,204.738,189.674
425,182.279,163.447
450,133.638,146.086
475,141.847,144.275
500,173.462,129.86
550,87.579,95.17
600,74.076,81.068
700,49.33,76.474
800,72.228,65.779
900,77.177,45.966
1000,51.799,50.131
